card_id,customer_id,card_number,card_type,credit_limit,outstanding,expiry_date,status,issue_date
1,70,XXXX-XXXX-XXXX-8896,Visa,1170730.03,994323.71,2027-12-21,Active,2022-12-22
2,207,XXXX-XXXX-XXXX-1266,Mastercard,1264750.09,223069.72,2022-12-01,Expired,2017-12-02
3,101,XXXX-XXXX-XXXX-2499,Visa,717955.43,94131.03,2016-04-07,Active,2011-04-09
4,95,XXXX-XXXX-XXXX-9327,Mastercard,398494.89,250221.29,2017-11-26,Active,2013-11-27
5,347,XXXX-XXXX-XXXX-7357,Visa,1367638.38,443003.05,2023-06-04,Expired,2019-06-05
6,431,XXXX-XXXX-XXXX-5962,UnionPay,676429.77,625909.84,2020-03-06,Active,2017-03-07
7,345,XXXX-XXXX-XXXX-3459,Visa,1343715.56,990224.77,2019-12-14,Blocked,2014-12-15
8,388,XXXX-XXXX-XXXX-3384,Mastercard,1394034.65,941775.41,2021-03-24,Blocked,2018-03-25
9,433,XXXX-XXXX-XXXX-2070,Mastercard,1242692.88,158345.17,2022-06-15,Blocked,2017-06-16
10,340,XXXX-XXXX-XXXX-1711,UnionPay,1300437,187614.21,2024-07-18,Expired,2019-07-20
11,81,XXXX-XXXX-XXXX-1934,Mastercard,896651.57,113754.26,2022-10-07,Blocked,2017-10-08
12,39,XXXX-XXXX-XXXX-4481,Mastercard,991376.53,498865.97,2014-11-26,Expired,2010-11-27
13,194,XXXX-XXXX-XXXX-3790,Visa,183529.92,127575.96,2022-08-05,Blocked,2018-08-06
14,72,XXXX-XXXX-XXXX-1760,UnionPay,642727.92,95265.52,2022-11-14,Active,2017-11-15
15,354,XXXX-XXXX-XXXX-1529,UnionPay,437435.3,26773.21,2025-10-09,Expired,2020-10-10
16,206,XXXX-XXXX-XXXX-1793,Mastercard,566772.87,546113.19,2025-04-26,Active,2020-04-27
17,100,XXXX-XXXX-XXXX-9541,Mastercard,338130.75,277721.92,2026-09-23,Blocked,2021-09-24
18,263,XXXX-XXXX-XXXX-2683,Visa,186958.93,93637.91,2022-10-31,Blocked,2018-11-01
19,232,XXXX-XXXX-XXXX-3891,Mastercard,1234452.97,55019.4,2015-01-24,Expired,2011-01-25
20,113,XXXX-XXXX-XXXX-4188,UnionPay,538137.93,140225.4,2017-09-30,Expired,2013-10-01
21,329,XXXX-XXXX-XXXX-5776,Mastercard,47031.2,2847.79,2020-08-02,Expired,2017-08-03
22,272,XXXX-XXXX-XXXX-9971,Visa,1160574.64,729615.38,2015-02-19,Expired,2010-02-20
23,454,XXXX-XXXX-XXXX-5405,Mastercard,767896.33,377409.52,2014-04-22,Active,2010-04-23
24,329,XXXX-XXXX-XXXX-5395,Mastercard,124578.56,7918.08,2016-01-13,Blocked,2012-01-14
25,80,XXXX-XXXX-XXXX-4396,UnionPay,1495558.35,1223610.35,2022-04-29,Blocked,2018-04-30
26,465,XXXX-XXXX-XXXX-1501,UnionPay,881793.23,844204.08,2024-08-13,Blocked,2021-08-14
27,389,XXXX-XXXX-XXXX-5721,UnionPay,992326.01,684340.88,2017-12-07,Blocked,2013-12-08
28,282,XXXX-XXXX-XXXX-4051,Mastercard,1314360.57,1302620.14,2024-08-24,Active,2020-08-25
29,20,XXXX-XXXX-XXXX-8810,UnionPay,467482.12,353160.86,2014-05-25,Expired,2011-05-26
