customer_id,full_name,cnic,dob,gender,city,phone,email,occupation,monthly_income,branch_id,created_at
1,"Kamran Hussain",61101-4804654-7,1985-03-08,Male,Multan,0312-5202648,kamran332@hotmail.com,Nurse,NULL,41,"2026-04-29 20:28:44"
2,"Ali Farooq",42101-6288028-4,1989-09-28,Male,Lahore,0312-5500094,ali922@hotmail.com,Retired,333418.74,8,"2026-04-29 20:28:44"
3,"Imran Siddiqui",42201-6118052-9,1980-04-17,Male,Multan,0300-6955061,imran238@gmail.com,Freelancer,NULL,21,"2026-04-29 20:28:44"
4,"Rabia Aziz",42201-2242539-1,NULL,Female,Karachi,0312-6763986,rabia636@yahoo.com,Businessman,209473.58,43,"2026-04-29 20:28:44"
5,"Ayesha Javed",38401-7203635-8,1999-04-19,Female,Islamabad,0311-5409445,ayesha335@hotmail.com,Doctor,128476.86,3,"2026-04-29 20:28:44"
6,"Tariq Mirza",61101-2719137-5,1987-11-15,Male,Quetta,0312-4567589,tariq453@hotmail.com,Engineer,136317.62,50,"2026-04-29 20:28:44"
7,"Hina Khan",35201-9291061-8,1993-11-06,Female,Lahore,0345-4945681,hina620@hotmail.com,Doctor,194309.88,14,"2026-04-29 20:28:44"
8,"Sajid Raza",35401-9222239-6,1963-10-26,Male,Peshawar,0300-1797829,sajid577@gmail.com,"Govt Employee",400356.63,43,"2026-04-29 20:28:44"
9,"Muhammad Butt",38401-6375810-4,1988-09-18,Male,Multan,0300-8209424,muhammad851@yahoo.com,Lawyer,318555.11,12,"2026-04-29 20:28:44"
10,"Hina Iqbal",38401-4099275-7,1964-04-26,Female,Multan,0321-9831305,hina312@yahoo.com,Accountant,334234.28,3,"2026-04-29 20:28:44"
11,"Tariq Akhtar",35401-3154716-5,1969-10-03,Male,Faisalabad,0311-9415619,tariq314@yahoo.com,"HR Manager",220265.01,10,"2026-04-29 20:28:44"
12,"Asad Saleem",42201-9430411-4,1986-12-31,Male,Quetta,0300-4804987,asad570@yahoo.com,Engineer,358797.35,26,"2026-04-29 20:28:44"
13,"Muhammad Farooq",42101-8143036-8,1960-03-19,Male,Karachi,0311-2477798,muhammad796@gmail.com,Doctor,134571.32,20,"2026-04-29 20:28:44"
14,"Aamir Baloch",21301-4186946-2,1974-07-08,Male,Multan,0311-4657698,aamir305@yahoo.com,Teacher,435689.64,31,"2026-04-29 20:28:44"
15,"Sana Baig",42201-1721699-6,1984-10-26,Female,Peshawar,0312-4501392,sana831@hotmail.com,"Govt Employee",433226.01,39,"2026-04-29 20:28:44"
16,"Amna Malik",21301-9688798-9,1960-09-25,Female,Quetta,0345-6772038,amna157@gmail.com,Businessman,430890.30,36,"2026-04-29 20:28:44"
17,"Mehwish Malik",61101-6518103-2,1973-04-04,Female,Multan,0301-6757323,mehwish434@gmail.com,Teacher,64301.08,26,"2026-04-29 20:28:44"
18,"Amna Aziz",35401-7251622-7,1969-02-20,Female,Faisalabad,0321-3258447,amna65@yahoo.com,Engineer,158200.49,16,"2026-04-29 20:28:44"
19,"Raheel Baloch",35201-5632774-7,1966-01-18,Male,Peshawar,0311-3175103,raheel295@hotmail.com,Engineer,252393.56,10,"2026-04-29 20:28:44"
20,"Salman Saleem",61101-3153148-5,1993-04-24,Male,Islamabad,0300-6798572,salman31@yahoo.com,Businessman,153146.52,50,"2026-04-29 20:28:44"
21,"Omar Mehmood",38401-2172531-6,1965-10-13,Male,Peshawar,0321-9985918,NULL,Nurse,421167.10,29,"2026-04-29 20:28:44"
22,"Kashif Saleem",38401-8686650-8,1960-02-21,Male,Karachi,0301-1749398,kashif622@gmail.com,"Govt Employee",78374.33,36,"2026-04-29 20:28:44"
23,"Gulnaz Gul",42101-1547293-5,NULL,Female,Multan,0301-5180321,gulnaz584@yahoo.com,Lecturer,145799.72,23,"2026-04-29 20:28:44"
24,"Adnan Ahmed",38401-6530950-6,1969-01-04,Male,Peshawar,0333-5428220,adnan182@hotmail.com,Businessman,200294.71,17,"2026-04-29 20:28:44"
25,"Hira Khan",61101-3884154-1,1970-05-25,Female,Karachi,0301-1298427,hira164@hotmail.com,Retailer,192202.51,26,"2026-04-29 20:28:44"
26,"Tariq Baig",38401-3783618-1,1980-10-18,Male,Islamabad,0321-9075546,tariq645@yahoo.com,Accountant,84956.18,40,"2026-04-29 20:28:44"
27,"Zubair Siddiqui",61101-3572759-8,1965-04-12,Male,Faisalabad,0301-7656660,zubair339@yahoo.com,Trader,324216.68,6,"2026-04-29 20:28:44"
28,"Kashif Hussain",38401-7487533-3,1991-12-13,Male,Islamabad,0312-6723174,NULL,Teacher,NULL,31,"2026-04-29 20:28:44"
29,"Sana Raza",35401-6691432-9,NULL,Female,Karachi,0301-8191672,sana611@hotmail.com,"HR Manager",96669.37,10,"2026-04-29 20:28:44"
30,"Kiran Baig",21301-3278522-8,1980-10-25,Female,Karachi,0333-9702053,kiran499@hotmail.com,Student,222194.25,7,"2026-04-29 20:28:44"
31,"Fatima Baloch",35401-4233972-2,1960-07-09,Female,Islamabad,0333-6274219,fatima849@gmail.com,Lawyer,76736.54,36,"2026-04-29 20:28:44"
