employee_id,full_name,branch_id,designation,hire_date,salary,phone,is_active
1,"Kiran Siddiqui",1,CSR,2014-10-17,55599.60,0345-1149239,1
2,"Saima Baig",2,"Senior Teller",2017-02-12,93066.15,0312-4204059,1
3,"Ahmed Baloch",3,"Senior Teller",2012-01-16,115105.26,0311-4936126,1
4,"Hira Javed",4,"Senior Teller",2002-07-22,113375.04,0300-8894680,1
5,"Faisal Siddiqui",5,"Loan Officer",2022-05-17,NULL,0321-1463627,1
6,"Maryam Farooq",6,Teller,2022-08-28,119405.43,0312-1460014,1
7,"Junaid Iqbal",7,"Branch Manager",2013-09-04,119177.69,0321-2368354,1
8,"Amna Siddiqui",8,CSR,1998-07-28,97487.08,0345-5865674,1
9,"Sobia Raza",9,CSR,2015-07-08,123617.72,0321-1022313,1
10,"Amna Aziz",10,CSR,2003-09-22,123016.71,0321-2865147,1
11,"Sana Iqbal",11,"Senior Teller",2008-11-22,70224.56,0312-6086898,1
12,"Rabia Butt",12,"Senior Teller",2010-03-01,150689.95,0311-8339470,1
13,"Faisal Siddiqui",13,"Loan Officer",2018-11-21,160076.71,0345-7354500,1
14,"Bushra Aziz",14,Teller,2002-01-30,55344.49,0300-6099961,1
15,"Sana Aziz",15,"Senior Teller",2017-03-06,168628.08,0301-6608022,0
16,"Junaid Sheikh",16,"Branch Manager",1999-11-02,121510.31,0345-4483599,1
17,"Zainab Baig",17,"Branch Manager",2003-02-09,71008.87,0345-5935159,1
18,"Hamza Butt",18,"Branch Manager",2006-10-07,91483.03,0300-9140547,1
19,"Raheel Siddiqui",19,"Loan Officer",1998-05-19,171403.06,0333-9743647,1
20,"Iqra Qureshi",20,CSR,2003-01-22,88806.00,0311-2423691,1
21,"Maira Hussain",21,Teller,1999-08-06,160094.32,0301-7851608,1
22,"Iqra Ali",22,"Branch Manager",2011-05-27,86128.83,0312-8060808,1
23,"Sara Butt",23,"Loan Officer",2004-09-17,113448.70,0345-4509559,1
24,"Maryam Khan",24,"Senior Teller",2021-06-26,124094.78,0301-1185573,1
25,"Usman Ahmed",25,"Senior Teller",2018-02-22,52943.27,0300-4980794,1
26,"Nimra Sheikh",26,"Senior Teller",2004-04-27,NULL,0301-4956067,1
27,"Aamir Ali",27,"Senior Teller",2011-05-23,164297.64,0301-8956495,1
28,"Saima Siddiqui",28,CSR,2006-11-30,163551.88,0333-8313452,0
29,"Faisal Khan",29,"Loan Officer",2017-02-21,185492.56,0321-3262937,1
30,"Rabia Ali",30,"Senior Teller",2011-08-03,96854.05,0300-3624540,1
31,"Kiran Dar",31,"Senior Teller",2019-01-02,173300.54,0300-4990104,1
32,"Zubair Hussain",32,"Loan Officer",1999-02-11,198559.48,0321-3354366,1
33,"Junaid Khan",33,"Branch Manager",1998-07-29,207479.63,0301-7946627,1
34,"Nimra Hussain",34,"Senior Teller",2006-04-29,154461.18,0301-8596998,1
35,"Zubair Saleem",35,Teller,2005-01-24,51153.82,0300-6484663,1
36,"Waqar Ahmed",36,"Branch Manager",1998-12-17,109958.67,0300-3901357,1
37,"Iqra Mirza",37,"Loan Officer",1999-06-05,153026.99,0333-8414202,1
38,"Saima Baloch",38,"Senior Teller",2007-05-27,164552.85,0311-3016948,1
39,"Junaid Baloch",39,CSR,2021-12-29,135089.62,0300-9437045,1
40,"Ali Raza",40,Teller,2010-10-20,56322.67,0321-7311359,1
41,"Omar Mirza",41,"Branch Manager",2020-12-09,178911.74,0300-5443092,1
42,"Sobia Sheikh",42,"Loan Officer",2006-02-21,160619.22,0345-5917379,1
43,"Waseem Butt",43,"Loan Officer",2003-06-23,108774.84,0311-5059445,1
44,"Kiran Qureshi",44,"Senior Teller",2018-10-21,155550.97,0333-3199742,1
45,"Bushra Javed",45,"Loan Officer",2000-06-19,189677.56,0345-8165097,1
46,"Hassan Baloch",46,"Branch Manager",2017-03-13,202948.07,0311-1205214,1
47,"Nimra Farooq",47,"Loan Officer",2020-11-24,183490.32,0300-1358045,1
48,"Mehwish Baloch",48,CSR,2013-04-14,80559.69,0312-1852260,1
49,"Rubab Afridi",49,CSR,2020-06-16,105654.11,0301-5736792,1
50,"Amna Mehmood",50,"Branch Manager",2002-04-13,96773.88,0301-8189196,1
51,"Shahid Farooq",1,Teller,2022-10-06,60064.49,0345-4389230,1
52,"Shahid Qureshi",2,"Senior Teller",2003-01-23,93951.17,0345-6104994,1
53,"Asad Baloch",3,"Branch Manager",2018-05-05,40482.31,0300-2861420,1
54,"Omar Raza",4,Teller,2013-06-28,78754.48,0312-9896012,1
55,"Nadia Baloch",5,CSR,2018-03-13,85319.15,0312-1030811,1
56,"Sheeza Farooq",6,CSR,2020-04-07,150383.74,0300-9811120,1
57,"Tariq Malik",7,"Loan Officer",2000-12-10,184101.40,0321-7837393,1
58,"Shahid Gul",8,Teller,2023-06-04,177297.77,0312-1572567,1
59,"Nadia Baig",9,CSR,2019-02-26,130311.78,0301-8953190,1
60,"Asad Khan",10,CSR,2019-03-16,159575.50,0321-9791798,1
61,"Bilal Dar",11,"Loan Officer",2014-03-24,125815.99,0321-8941536,1
62,"Faisal Siddiqui",12,"Branch Manager",2006-08-20,170354.12,0301-1370326,1
63,"Sheeza Sheikh",13,"Loan Officer",2013-02-09,78794.69,0345-4295029,1
64,"Ayesha Baloch",14,"Senior Teller",2018-08-05,170062.42,0311-3896233,0
65,"Faisal Raza",15,"Senior Teller",2022-01-22,46167.14,0333-2260004,1
66,"Bushra Sheikh",16,Teller,2013-01-16,53555.74,0301-9380402,1
67,"Ayesha Saleem",17,"Loan Officer",1999-05-11,210722.17,0312-1489214,1
68,"Waqar Raza",18,"Branch Manager",2002-01-16,180060.80,0312-6063347,1
69,"Kashif Mirza",19,"Branch Manager",2000-01-05,90258.06,0311-4798769,1
70,"Kamran Afridi",20,"Loan Officer",2012-03-18,65133.65,0312-5366491,1
71,"Kashif Ahmed",21,"Branch Manager",2022-12-10,100201.77,0312-5218421,1
72,"Kashif Siddiqui",22,CSR,2019-08-07,114579.91,0345-7627839,1
73,"Muhammad Sheikh",23,"Loan Officer",2001-06-10,153475.38,0321-4748215,1
74,"Sana Hussain",24,Teller,2006-04-13,143546.92,0300-1233022,1
75,"Salman Saleem",25,"Loan Officer",2010-06-12,191855.54,0301-4932572,1
76,"Zainab Javed",26,"Loan Officer",2007-02-13,NULL,0333-3165270,1
77,"Muhammad Aziz",27,"Loan Officer",2019-04-30,NULL,0311-5953649,1
78,"Junaid Dar",28,"Branch Manager",2019-07-02,NULL,0321-1366602,1
79,"Adnan Hussain",29,Teller,2020-05-06,189051.77,0311-6918150,1
80,"Aamir Iqbal",30,CSR,2012-03-26,218145.37,0345-8180662,1
81,"Rabia Farooq",31,"Loan Officer",2020-04-19,174238.49,0333-8184859,1
82,"Usman Mehmood",32,"Branch Manager",2013-02-22,161651.75,0333-4855791,1
83,"Shahid Akhtar",33,Teller,2013-06-12,217270.43,0300-2667909,1
84,"Raheel Farooq",34,"Branch Manager",2006-12-19,48789.68,0301-1650422,1
85,"Sara Ali",35,"Senior Teller",2017-01-30,97573.25,0312-2336234,1
86,"Kamran Ali",36,Teller,2016-08-09,120219.17,0300-4289937,1
87,"Nimra Akhtar",37,"Branch Manager",2008-10-26,93298.96,0301-5095741,0
88,"Shahid Iqbal",38,"Branch Manager",2019-12-18,56397.17,0345-5446916,1
89,"Nimra Ahmed",39,"Loan Officer",2014-08-15,52103.49,0333-5607984,1
90,"Hamza Ahmed",40,CSR,2015-09-10,81848.96,0345-4446729,0
91,"Omar Aziz",41,"Branch Manager",1999-03-10,147994.87,0312-2740612,1
92,"Amna Ahmed",42,"Senior Teller",2001-01-19,123489.85,0333-9110845,1
93,"Zara Farooq",43,"Loan Officer",2022-01-30,107887.64,0345-2132511,1
94,"Sajid Akhtar",44,"Senior Teller",2018-04-19,133600.47,0345-6321708,1
95,"Hina Afridi",45,Teller,2009-12-06,212323.10,0300-2537585,1
96,"Aamir Dar",46,"Branch Manager",2022-08-20,210706.74,0321-4368437,1
97,"Imran Ali",47,"Senior Teller",2005-09-07,86234.10,0321-2367172,0
98,"Junaid Mirza",48,"Loan Officer",2011-02-11,95085.86,0301-9371465,1
99,"Maira Hussain",49,"Loan Officer",2011-08-07,65427.89,0300-7099025,1
100,"Kamran Qureshi",50,CSR,2001-08-01,111399.62,0311-6052116,1
101,"Adnan Iqbal",1,CSR,2005-07-27,68869.19,0300-8432429,1
102,"Tariq Aziz",2,"Senior Teller",2004-10-21,172832.15,0311-3215231,1
103,"Sajid Akhtar",3,Teller,2015-07-01,165831.56,0321-7623313,1
104,"Mehwish Iqbal",4,CSR,2016-02-13,79343.88,0321-6170393,1
105,"Hira Gul",5,"Loan Officer",2001-05-19,NULL,0300-3570383,1
106,"Zara Sheikh",6,"Loan Officer",2009-01-01,177133.87,0321-4931471,1
107,"Amna Javed",7,Teller,1998-02-19,123598.38,0333-9860264,1
108,"Sheeza Raza",8,Teller,2004-05-09,86834.41,0311-9826543,1
109,"Omar Javed",9,"Senior Teller",2013-06-07,183646.29,0311-8376727,1
110,"Rabia Khan",10,Teller,2004-08-15,185671.08,0345-5615949,1
111,"Muhammad Hussain",11,"Loan Officer",2020-06-04,NULL,0345-5927425,1
112,"Faisal Javed",12,Teller,2016-12-13,94624.73,0311-4786349,1
113,"Junaid Siddiqui",13,CSR,2015-11-11,158588.20,0333-5305148,1
114,"Asad Siddiqui",14,"Senior Teller",2018-05-17,126479.79,0300-3027183,1
115,"Nimra Afridi",15,"Branch Manager",2016-09-18,66008.50,0333-5597260,1
116,"Aamir Javed",16,"Loan Officer",2020-07-15,128107.14,0321-5542025,1
117,"Ayesha Javed",17,"Senior Teller",2017-04-05,184602.25,0301-3850435,1
118,"Sobia Malik",18,CSR,2003-09-21,118104.63,0312-8891878,1
119,"Hira Qureshi",19,"Senior Teller",2005-11-19,193630.20,0312-2271202,1
120,"Maira Siddiqui",20,"Branch Manager",2023-02-21,130702.80,0321-2305602,0
121,"Amna Afridi",21,CSR,2012-01-16,169680.45,0345-5467888,1
122,"Zubair Baloch",22,CSR,2017-08-06,216833.31,0345-1481291,1
123,"Zubair Qureshi",23,Teller,2009-11-03,112456.25,0333-6043135,1
124,"Zubair Khan",24,"Loan Officer",2019-06-29,81145.94,0301-8397326,1
125,"Tariq Javed",25,"Loan Officer",1999-11-30,207612.84,0301-7773618,1
126,"Ahmed Khan",26,CSR,2014-11-22,102906.64,0312-1940897,1
127,"Saima Raza",27,Teller,2002-10-06,181195.42,0321-6035135,1
128,"Zubair Saleem",28,"Branch Manager",2013-06-03,169880.21,0300-9834608,1
129,"Shahid Khan",29,Teller,2008-04-22,79873.97,0333-8164621,1
130,"Sheeza Hussain",30,"Branch Manager",2016-08-17,160886.48,0311-8300376,1
131,"Sana Iqbal",31,CSR,2010-09-08,98932.45,0301-8887719,1
132,"Salman Javed",32,Teller,2007-01-09,219837.04,0312-1713031,0
133,"Maira Raza",33,Teller,2012-05-26,184861.72,0300-9274846,1
134,"Sana Dar",34,Teller,2007-12-11,NULL,0321-8920494,1
135,"Ahmed Saleem",35,"Senior Teller",2019-07-17,147199.57,0321-1034648,1
136,"Shahid Siddiqui",36,CSR,2002-12-04,193801.25,0301-5417458,1
137,"Junaid Mehmood",37,"Loan Officer",2004-08-12,78018.18,0321-1988892,1
138,"Fatima Raza",38,"Senior Teller",2007-10-10,115124.49,0312-7934271,1
139,"Tariq Hussain",39,"Senior Teller",2007-09-10,NULL,0312-4803627,0
140,"Gulnaz Hussain",40,CSR,2021-06-28,182043.76,0311-4806107,1
141,"Hamza Siddiqui",41,"Loan Officer",2000-08-15,116996.64,0311-3261387,1
142,"Salman Malik",42,"Senior Teller",1998-07-13,111005.42,0333-8623415,1
143,"Muhammad Farooq",43,"Branch Manager",2000-06-15,204134.52,0301-3199485,1
144,"Raheel Butt",44,Teller,2021-05-21,176264.99,0312-1825387,1
145,"Salman Mirza",45,CSR,2017-12-18,67857.40,0311-2602209,1
146,"Ahmed Javed",46,"Loan Officer",2018-09-22,144666.74,0321-8454833,1
147,"Imran Sheikh",47,CSR,2018-08-28,185514.05,0333-2300006,1
148,"Zainab Akhtar",48,"Loan Officer",1999-05-03,67113.66,0321-5105164,1
149,"Hina Dar",49,"Branch Manager",2009-05-10,70416.10,0311-6225347,1
